ID,CALL,CN,TYPE
*06DDA8AD,D-9088,AECDUO,undefined
06DDAE40,D-0052,AECLS4,undefined
06DD9F53,D-4309,AECLS6,undefined
06DDA2A2,D-8321,AECASK21,undefined
06DD9429,D-4784,AECAstir,undefined
06DD9F04,D-5339,AECK8,undefined


06DDA42E,D-3587,DJKASW24,undefined
053F05F5,D-9566,DJKDUO,undefined
06DDA37E,D-5039,DJKDG300,undefined
06D027E5,D-1448,DJKASW27,undefined
06DDA28C,D-2324,DJKK8,undefined
06DDA375,D-4939,DJKMistralC,undefined
06DDC3D2,D-4927,DJKASK21,undefined
053EE49A,D-1027,DJKDG600,undefined

06D00EA7,D-KHIP,AH,undefined
052E7545,D-4028,Henrik1G,undefined
06DDA9AC,D-KBFD,ASH-FD,undefined
06DDA304.D_KDAX,HH,undefined
06DF11BA,D3717,RP1,undefined

213FEB9E,D-MMES,WT9,undefined
093FEF58,D-MCCC,FK9,undefined
213E7A3C,D-KLMI,MOSE,undefined
0ADDA3E4,D-EODO,D-EODO,undefined
093D1FEB,D-EKIL,Morane,undefined
